Absorption/nm,Emission/nm,PLQY,SMILES,solvent,Reference(doi),Et30,SP,SdP,SA,SB,"Test method of Quantum Yield (0= measured by relative method/not mention in origin paper, 1= absolute QY)",Unnamed: 13,solvent_smiles
510.0,587.0,,CC1=CC(C2=CC=CC=C2)=[O+]C3=CC(N(C)C)=CC=C31,CH2Cl2,10.1002/anie.201706974,40.7,0.761,0.769,0.04,0.178,1.0,Absolute  quantum  yields  were  determined  in  DCM  with  an integrating  sphere as  described  in  absolute  quantum  yield  experimental  procedure.,
650.0,684.0,0.007,CN(C)C1=CC=C(C(/C=C2C3=CC=C(N(C)C)C=C3OC(C4=CC=CC=C4)=C\2)=CC(C5=CC=CC=C5)=[O+]6)C6=C1,CH2Cl2,10.1002/anie.201706974,40.7,0.761,0.769,0.04,0.178,1.0,,
746.0,766.0,0.029,CN(C)C1=CC=C(C(/C=C/C=C2C3=CC=C(N(C)C)C=C3OC(C4=CC=CC=C4)=C/2)=CC(C5=CC=CC=C5)=[O+]6)C6=C1,CH2Cl2,10.1002/anie.201706974,40.7,0.761,0.769,0.04,0.178,1.0,,
862.0,908.0,0.05,CN(C)C1=CC=C(C(/C=C/C=C/C=C2C3=CC=C(N(C)C)C=C3OC(C4=CC=CC=C4)=C/2)=CC(C5=CC=CC=C5)=[O+]6)C6=C1,CH2Cl2,10.1002/anie.201706974,40.7,0.761,0.769,0.04,0.178,1.0,,
1026.0,1045.0,0.0053,CN(C)C1=CC=C(C(/C=C/C(CCC/2)=C(Cl)C2=C\C=C3C4=CC=C(N(C)C)C=C4OC(C5=CC=CC=C5)=C\3)=CC(C6=CC=CC=C6)=[O+]7)C7=C1,CH2Cl2,10.1002/anie.201706974,40.7,0.761,0.769,0.04,0.178,1.0,,
368.0,404.0,0.1,C12=CC=CC3=[N+]1C(C4=C3C=CC=C4)=C(C5=CC=CC=C5)O2,CH2Cl2,10.1002/anie.201609335,40.7,0.761,0.769,0.04,0.178,1.0,Spectrofluorometer and absolute quantum yields were determined using a calibrated integrating sphere system. ,
372.0,414.0,0.09,FC1=CC=C(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)C=C1,CH2Cl2,10.1002/anie.201609335,40.7,0.761,0.769,0.04,0.178,1.0,,
370.0,410.0,0.19,ClC1=CC=C(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)C=C1,CH2Cl2,10.1002/anie.201609335,40.7,0.761,0.769,0.04,0.178,1.0,,
376.0,455.0,0.2,COC1=CC(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)=CC=C1,CH2Cl2,10.1002/anie.201609335,40.7,0.761,0.769,0.04,0.178,1.0,,
405.0,458.0,0.42,COC1=CC=C(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)C=C1,CH2Cl2,10.1002/anie.201609335,40.7,0.761,0.769,0.04,0.178,1.0,,
410.0,481.0,0.49,C12=CC=CC3=[N+]1C(C4=C3C=CC=C4)=C(C5=CC=C(C=CC=C6)C6=C5)O2,CH2Cl2,10.1002/anie.201609335,40.7,0.761,0.769,0.04,0.178,1.0,,
411.0,487.0,0.54,C12=CC=CC3=[N+]1C(C4=C3C=CC=C4)=C(C5=C(C=CC=C6)C6=CC7C5=CC=CC7)O2,CH2Cl2,10.1002/anie.201609335,40.7,0.761,0.769,0.04,0.178,1.0,,
506.0,555.0,0.76,CN(C)C1=CC=C(C2=C(C3=C4C=CC=C3)[N+]5=C4C=CC=C5O2)C=C1,CH2Cl2,10.1002/anie.201609335,40.7,0.761,0.769,0.04,0.178,1.0,,
485.0,588.0,0.56,C12=CC=CC3=[N+]1C(C4=C3C=CC=C4)=C(C5=CC=C(C=C6)C7C5=CC=C8C7C6=CC=C8)O2,CH2Cl2,10.1002/anie.201609335,40.7,0.761,0.769,0.04,0.178,1.0,,
513.0,551.0,0.51,O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C=C1)N(CC=C)C4=O,toluene,10.1002/asia.200900215,33.9,0.782,0.284,0.0,0.128,0.0,文章下不了…scihub也没有..,Cc1ccccc1
601.0,632.0,0.62,O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C(NC=C)=C1)N(CC=C)C4=O,toluene,10.1002/asia.200900215,33.9,0.782,0.284,0.0,0.128,0.0,,Cc1ccccc1
346.0,446.0,0.46,O=P(C1=CC=CC2=CC=CC3=C12)(C4=CC=CC=C4)C5=C6C3=CC=CC6=CC=C5,CH2Cl2,10.1002/chem.201904490,40.7,0.761,0.769,0.04,0.178,1.0,Measured in calibrated integrated sphere,
346.0,442.0,0.46,O=P(C1=CC=CC2=CC=CC3=C12)(OCC)C4=C5C3=CC=CC5=CC=C4,CH2Cl2,10.1002/chem.201904490,40.7,0.761,0.769,0.04,0.178,1.0,,
351.0,442.0,0.46,O=P(C1=CC=CC2=CC=CC3=C12)(OC4=C(C)C=C(C)C=C4C)C5=C6C3=CC=CC6=CC=C5,CH2Cl2,10.1002/chem.201904490,40.7,0.761,0.769,0.04,0.178,1.0,,
356.0,521.0,,O=[N+](C1=CC=CC=C1COC2=C(/C=N/N=C/C3=C(OCC4=CC=CC=C4[N+]([O-])=O)C=C(OC)C=C3)C=CC(OC)=C2)[O-],THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
343.0,541.0,,O=[N+](C1=CC=CC=C1COC2=C(/C=N/N=C/C3=C(OCC4=CC=CC=C4[N+]([O-])=O)C=CC=C3)C=CC=C2)[O-],THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
355.0,566.0,,ClC1=CC(/C=N/N=C/C2=C(OCC3=CC=CC=C3[N+]([O-])=O)C=CC(Cl)=C2)=C(OCC4=CC=CC=C4[N+]([O-])=O)C=C1,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
356.0,522.0,,O=C(C1=CC=CC=C1)COC2=C(/C=N/N=C/C3=C(OCC(C4=CC=CC=C4)=O)C=C(OC)C=C3)C=CC(OC)=C2,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
344.0,540.0,,O=C(C1=CC=CC=C1)COC2=C(/C=N/N=C/C3=C(OCC(C4=CC=CC=C4)=O)C=CC=C3)C=CC=C2,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
355.0,568.0,,O=C(C1=CC=CC=C1)COC2=C(/C=N/N=C/C3=C(OCC(C4=CC=CC=C4)=O)C=CC(Cl)=C3)C=C(Cl)C=C2,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
321.0,445.0,,O=C(O1)C=C(C2=C1C=C(OC)C=C2)COC3=C(/C=N/N=C/C4=C(OCC(C5=C6C=C(OC)C=C5)=CC(O6)=O)C=C(OC)C=C4)C=CC(OC)=C3,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
319.0,443.0,,O=C(O1)C=C(COC(C=CC=C2)=C2/C=N/N=C/C3=C(OCC(C4=C5C=C(OC)C=C4)=CC(O5)=O)C=CC=C3)C6=C1C=C(OC)C=C6,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
326.0,431.0,,ClC1=CC(/C=N/N=C/C2=C(OCC(C3=C4C=C(OC)C=C3)=CC(O4)=O)C=CC(Cl)=C2)=C(OCC(C5=C6C=C(OC)C=C5)=CC(O6)=O)C=C1,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
368.0,526.0,,OC1=C(/C=N/N=C/C2=C(O)C=C(OC)C=C2)C=CC(OC)=C1,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
357.0,545.0,,OC1=C(/C=N/N=C/C2=C(O)C=CC=C2)C=CC=C1,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
367.0,573.0,,OC1=C(/C=N/N=C/C2=C(O)C=CC(Cl)=C2)C=C(Cl)C=C1,THF,10.1002/chem.201406026,37.4,0.714,0.634,0.0,0.591,,,C1CCOC1
417.0,465.0,,C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=[O+]1,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,"[a] Values FfdeterminedinEtOH using cresolpurple as areference (Ff=0.58, EtOH).[45][b] Values Ffdetermined in PBS (pH 7.4).",CCO
590.0,670.0,0.05,NC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3)=CC(C4=CC=C(N)C=C4)=[O+]2,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
582.0,664.0,0.04,NC(C=C1)=CC=C1C2=CC(C3=C(OC)C=CC=C3)=CC(C4=CC=C(N)C=C4)=[O+]2,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
598.0,656.0,0.33,NC(C=C1)=CC(C2)=C1C3=C2C(C4=CC=CC=C4)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
595.0,653.0,0.51,NC(C=C1)=CC(C2)=C1C3=C2C(C4=C(OC)C=CC=C4)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
584.0,647.0,0.57,NC(C=C1)=CC(C2)=C1C3=C2C(C4=C(O)C=CC=C4)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
578.0,640.0,0.28,NC(C=C1)=CC(C2)=C1C3=C2C(C(C=C4)=CC=C4N(C)C)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
546.0,601.0,0.47,NC(C=C1)=CC(C2)=C1C3=C2C(C(C(F)=C4F)=C(F)C(F)=C4F)=C5C(C6=CC=C(N)C=C6C5)=[O+]3,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
630.0,680.0,0.48,COC(C=CC=C1)=C1C2=C3C(C4=CC=C(N(CC)CC)C=C4C3)=[O+]C5=C2CC6=C5C=CC(N(CC)CC)=C6,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
599.0,665.0,0.26,NC(C=C1)=CC2=C1C3=C(CCC2)C(C4=CC=CC=C4)=C5C(C(C=CC(N)=C6)=C6CCC5)=[O+]3,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
597.0,658.0,0.42,COC(C=CC=C1)=C1C2=C3C(C(C=CC(N)=C4)=C4CCC3)=[O+]C5=C2CCCC6=C5C=CC(N)=C6,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
566.0,641.0,0.57,NC(C=C1)=CC2=C1C3=C(CCC2)C(C4=C(C(O)=O)C=CC=C4)=C5C(C(C=CC(N)=C6)=C6CCC5)=[O+]3,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
592.0,668.0,0.54,CN(C)C(C=C1)=CC2=C1C3=C(CCC2)C(C4=C(C(O)=O)C=CC=C4)=C5C(C(C=CC(N(C)C)=C6)=C6CCC5)=[O+]3,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
509.0,587.0,0.83,CC(NC1=CC2=C(C=C1)C3=[O+]C4=C(CCCC5=C4C=CC(NC(C)=O)=C5)C(C6=CC=CC=C6)=C3CCC2)=O,EtOH,10.1002/chem.201900246,51.9,0.633,0.783,0.4,0.658,0.0,,CCO
337.0,473.0,0.24,C1(C2=CC=CC=C2)=NC=C3N1C(C4=CC=CC=C4)=CC=C3,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,Fluorescence spectra and absolute quantum yields were collected on a Scinco FluoroMate FS-2 fluorescence spectrometer with a calibrated integrating sphere system.,
332.0,468.0,0.21,COC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
341.0,470.0,0.28,CC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
336.0,469.0,0.32,FC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
338.0,478.0,0.42,ClC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
358.0,506.0,0.43,O=C(C)C(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=CC=C4)N32,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
341.0,484.0,0.26,COC(C=C1)=CC=C1C2=NC=C3N2C(C4=CC=CC=C4)=CC=C3,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
339.0,479.0,0.31,CC(C)(C)C(C=C1)=CC=C1C2=NC=C3N2C(C4=CC=CC=C4)=CC=C3,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
331.0,457.0,0.19,N#CC(C=C1)=CC=C1C2=NC=C3N2C(C4=CC=CC=C4)=CC=C3,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
329.0,447.0,0.17,COC(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=C(C#N)C=C4)N32,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
366.0,537.0,0.1,CC(C(C=C1)=CC=C1C2=CC=CC3=CN=C(C4=CC=C(OC)C=C4)N32)=O,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
324.0,424.0,0.42,CC(C=C1)=CC=C1C2=NC=C3N2C4=C(C=CC=C4)C=C3,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
325.0,425.0,0.55,CC(C=CC=C1)=C1C2=NC=C3N2C4=C(C=CC=C4)C=C3,CH2Cl2,10.1021/acs.joc.7b00358,40.7,0.761,0.769,0.04,0.178,1.0,,
421.0,464.0,0.39,C1(N23)=CC=CC2=CN=C3C4=C1C=CC=C4,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,A 0.1 μM solution of fluorescein in 0.1 M NaOH was used as quantum yield standard (ΦF = 0.92),CO
430.0,475.0,0.26,C1(C2=CC=CC=C2)=CC3=C(C4=NC=C5N4C3=CC=C5)C=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
424.0,469.0,0.19,CC(C)(C)C1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
438.0,486.0,0.29,C1(C=C(OCC2=CC=CC=C2)C=C3)=C3C4=NC=C5N4C1=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
438.0,489.0,0.31,OCCOC1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,552.0,0.07,CN(C)C1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
430.0,476.0,0.28,FC1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
428.0,473.0,0.24,ClC1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
420.0,461.0,0.27,O=C(C1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1)OC,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
450.0,463.0,0.27,N#CC1=CC2=C(C3=NC=C4N3C2=CC=C4)C=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
420.0,471.0,0.31,COC1=C(OC)C2=C(C3=NC=C4N3C2=CC=C4)C=C1OC,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
450.0,467.0,0.3,FC1=C(F)C2=C(C3=NC=C4N3C2=CC=C4)C(F)=C1F,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
438.0,480.0,0.2,COC1=CC=CC2=C1C3=NC=C4N3C2=CC=C4,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,487.0,0.24,C1(C=CC=C2)=C2C=CC3=C1C4=NC=C5N4C3=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
413.0,480.0,0.16,C12=C(C3=NC=C4N3C2=CC=C4)OC=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
420.0,478.0,0.07,C12=C(C3=NC=C4N3C2=CC=C4)SC=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
411.0,450.0,0.09,CC1=CC2=CC=CC3=CN=C1N32,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
450.0,506.0,0.14,C1(C2=CC=CC=C2)=CC3=NC=C4N3C1=CC=C4,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,512.0,0.37,C1(C=CC=C2)=C2C3=NC(C4=CC=CC=C4)=C5N3C1=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,498.0,0.25,N#CC(C=C1)=CC=C1C2=C3N4C(C5=C(C=CC=C5)C4=CC=C3)=N2,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,553.0,0.27,COC(C=C1)=CC=C1C2=C3N4C(C5=C(C=CC=C5)C4=CC=C3)=N2,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,538.0,0.22,C1(C=CC=C2)=C2C3=NC(C4=CC=CS4)=C5N3C1=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,533.0,0.3,C1(C=C(OCC2=CC=CC=C2)C=C3)=C3C4=NC(C5=CC=CC=C5)=C6N4C1=CC=C6,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,555.0,0.21,COC1=CC=C(C=C1)C2=C3N4C(C5=C(C=C(OCC6=CC=CC=C6)C=C5)C4=CC=C3)=N2,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
339.0,620.0,0.02,CCCN(CCC)C1=CC=C(C=C1)C2=C3N4C(C5=C(C=C(OCC6=CC=CC=C6)C=C5)C4=CC=C3)=N2,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,557.0,0.17,C1(C=C(OCC2=CC=CC=C2)C=C3)=C3C4=NC(C5=CC=CS5)=C6N4C1=CC=C6,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,579.0,0.1,CN(C)C(C=C1)=CC2=C1C3=NC(C4=CC=CC=C4)=C5N3C2=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,550.0,0.2,FC(C=C1)=CC2=C1C3=NC(C4=CC=C(OC)C=C4)=C5N3C2=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,507.0,0.35,COC(C(OC)=C1)=C(OC)C2=C1C3=NC(C4=CC=CC=C4)=C5N3C2=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,497.0,0.44,COC(C(OC)=C1)=C(OC)C2=C1C3=NC(C4=CC=C(C#N)C=C4)=C5N3C2=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
469.0,526.0,0.3,COC(C(OC)=C1)=C(OC)C2=C1C3=NC(C4=CC=C(OC)C=C4)=C5N3C2=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
450.0,490.0,0.26,CC1=CC2=CC=CC3=C(C4=CC=CC=C4)N=C1N32,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
468.0,529.0,0.34,CC1=CC2=CC=C(C3=CC=CC=C3)C4=C(C5=CC=CC=C5)N=C1N42,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
484.0,524.0,0.37,CC(C=C1)=CC=C1C2=C3N4C(C(C=CC=C5)=C5C4=CC=C3)=N2,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
398.0,458.0,0.45,C12=C(C=CC=C2)C3=[N+](CC4=CC=CC=C4)C=C5N3C1=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
399.0,437.0,0.47,O=C(OC)C1=CC2=C(C=C1)C3=[N+](CC4=CC=CC=C4)C=C5N3C2=CC=C5,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
399.0,503.0,0.18,COC1=CC2=C(C(OC)=C1OC)C3=CC=CC4=C[N+](CC5=CC=CC=C5)=C2N43,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
420.0,462.0,0.32,OC(C1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4)=O,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
420.0,464.0,0.49,O=C(OCCCCCCO)C1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
423.0,468.0,0.34,OCC1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
423.0,468.0,0.46,[N-]=[N+]=NCC1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
424.0,467.0,0.43,[NH3+]CC1=CC2=C(C=C1)C3=NC=C4N3C2=CC=C4,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
317.0,461.0,0.072,C1(C2=NC=C3N2C=CC=C3)=CC=CC=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
308.0,454.0,0.14,C1(C2=NC(C3=CC=CC=C3)=C4N2C=CC=C4)=CC=CC=C1,MeOH,10.1021/acs.joc.6b02928,55.4,0.608,0.904,0.605,0.545,0.0,,CO
703.0,730.0,0.27,CN(C)C1=CC=C(C(C2=C(C)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,"Cy5.5 in PBS (pH 7.4, Φ = 0.23) was used as the standard.",O
703.0,729.0,0.28,CN(C)C1=CC=C(C(C2=C(CC)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
713.0,741.0,0.21,CN(C)C1=CC=C(C(C2=C(C(F)(F)F)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
706.0,733.0,0.25,CN(C)C1=CC=C(C(C2=C(OC)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
706.0,737.0,0.16,CN(C)C1=CC=C(C(C2=C(OC)C=CC=C2OC)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
698.0,726.0,0.25,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=CC=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
701.0,731.0,0.16,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(OC)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
703.0,735.0,0.34,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(OC)C=CC=C3OC)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
699.0,724.0,0.31,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(CC)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
700.0,735.0,0.35,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=CC=C3C)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
700.0,733.0,0.32,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=C(C)C=C3C)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
693.0,719.0,0.32,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C(C)(C)C)=O,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
697.0,720.0,0.23,C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(OC)C=CC=C3OC)C4=CC=C(N(C)C)C=C4P2(C(C)(C)C)=O,H2O,10.1039/D0OB00189A,63.1,0.681,0.997,1.062,0.025,0.0,,O
